id,product_id,name,value,price,stock_quantity,image,created_at
"c1a5b591-5cc7-497e-9900-94dae14234ae","b975671f-5467-46c7-a73b-cbe87e2cd6f7","Color","Orange","849.99","0","/products/engwe-ep-2-boost/2.jpg","""2025-11-16T08:08:02.525Z"""
"a8291762-c7ee-401f-beff-0069818216c4","b975671f-5467-46c7-a73b-cbe87e2cd6f7","Color","Black","849.99","7","/products/engwe-ep-2-boost/3.jpg","""2025-11-16T08:08:02.525Z"""
"1d1c44ae-a8c0-48ab-9508-52935e2d1ec6","b975671f-5467-46c7-a73b-cbe87e2cd6f7","Color","Grey","849.99","7","/products/engwe-ep-2-boost/1.jpg","""2025-11-16T08:08:02.525Z"""
"3cf9238d-40ba-47dd-b7e0-c56a8821a520","fe5d310f-8758-42c4-a651-adea08706e9a","Color","Champagne","999.99","5","/products/engwe-l20/1.jpg","""2025-11-16T08:08:04.268Z"""
"de15040f-9fe2-411d-b081-e37d2330ac5f","fe5d310f-8758-42c4-a651-adea08706e9a","Color","Black","999.99","5","/products/engwe-l20/1.jpg","""2025-11-16T08:08:04.268Z"""
"7d63c34e-810a-4e94-ac99-aff589b76052","804c4b9d-bd10-4c08-b5fc-a53d41a18804","Wheel Size","29 Inch","599.99","3",,"""2025-11-16T04:10:15.320Z"""
"7629de8c-80a5-4457-8097-83079404c300","804c4b9d-bd10-4c08-b5fc-a53d41a18804","Wheel Size","27.5 Inch","549.99","5",,"""2025-11-16T04:10:15.320Z"""
"2850307d-3a70-45d4-9175-4c3f36108899","a1cc9357-0251-4e7f-b302-dc7f4e6476c3","Color","Forest Green","1149.99","5","/products/engwe-ep-2-3-0-boost/green-1.png","""2025-12-09T11:09:52.189Z"""
"5db6e368-d14f-4981-893a-eafbd94c74a9","a1cc9357-0251-4e7f-b302-dc7f4e6476c3","Color","Black","1149.99","5","/products/engwe-ep-2-3-0-boost/black-1.png","""2025-12-09T11:09:52.189Z"""
"3d93ce54-c25a-4376-a671-152b4459328f","19a9dd64-b011-44ed-b627-3347d950e1c4","Color","Red","899.99","5","/products/engwe-engine-x/1.png","""2025-11-16T08:07:59.067Z"""
"17a7ccc2-480e-4a9f-bca9-fb70c7fc15b2","19a9dd64-b011-44ed-b627-3347d950e1c4","Color","White","899.99","5","/products/engwe-engine-x/1.png","""2025-11-16T08:07:59.067Z"""
"45c90fdf-29e4-463b-8485-23fd3e7a832a","19a9dd64-b011-44ed-b627-3347d950e1c4","Color","Black","899.99","0","/products/engwe-engine-x/1.png","""2025-11-16T08:07:59.067Z"""
"54a809b5-0469-43a7-9840-2a9013b54731","00b6dea8-85bd-45bc-a2fc-c7095b2c1e23","Color","Green","1129.99","8","/products/engwe-engine-pro-2-0/1.png","""2025-11-16T08:07:56.839Z"""
"e3cbd582-15c2-4796-8819-5ceca81f9e83","ad931533-71ec-4192-bbfe-2f640401b177","Color","Orange","474.99","0","/products/engwe-t14/2.png","""2025-11-16T04:10:15.320Z"""
"34740e6e-bec1-4626-bc22-8a54d3034990","ad931533-71ec-4192-bbfe-2f640401b177","Color","Grey","474.99","0","/products/engwe-t14/2.png","""2025-11-16T04:10:15.320Z"""
"d1d16b2a-bc37-4f7d-9fd6-cc7a22d5362a","f06b3a8f-8216-4cf8-b784-169e4133a166","Color","Blue","399.99","5","/products/twofish-tf1/blue.webp","""2026-02-12T12:51:54.139Z"""
"b025ca01-6945-4ef3-b2f5-edb220433aed","f06b3a8f-8216-4cf8-b784-169e4133a166","Color","Red","399.99","5","/products/twofish-tf1/red.webp","""2026-02-12T12:51:54.139Z"""
"65b12a38-266c-4946-afc8-3b89d225bbfd","f06b3a8f-8216-4cf8-b784-169e4133a166","Color","White","399.99","5","/products/twofish-tf1/white.webp","""2026-02-12T12:51:54.139Z"""
"04d2b94c-165c-4539-9868-95d06cb2c407","f06b3a8f-8216-4cf8-b784-169e4133a166","Color","Grey","399.99","5","/products/twofish-tf1/grey.webp","""2026-02-12T12:51:54.139Z"""
"2da0d87c-0390-4345-901f-60a21122cea3","5584ed28-86c4-4061-b1a4-a751ac0320e0","Wheel Size","26 Inch","429.99","0",,"""2025-11-16T08:08:48.844Z"""
"3a8ebbea-cbca-4bbf-a2b7-98fc3336f071","5584ed28-86c4-4061-b1a4-a751ac0320e0","Wheel Size","29 Inch","449.99","0",,"""2025-11-16T08:08:48.844Z"""
